departement,num_circo,exprimes,nuls,blancs,votants,abstentions,inscrits,nom,nuance,voix,perc_ins,perc_exp,status
01,01,60495,406,929,61830,25013,86843,M. Christophe MAÎTRE,RN,23819,27.43,39.37,Qualif
01,01,60495,406,929,61830,25013,86843,M. Xavier BRETON,LR,14495,16.69,23.96,Qualif
01,01,60495,406,929,61830,25013,86843,M. Sébastien GUERAUD,UG,14188,16.34,23.45,Qualif
01,01,60495,406,929,61830,25013,86843,M. Vincent GUILLERMIN,ENS,7063,8.13,11.68,Battu
01,01,60495,406,929,61830,25013,86843,M. Éric LAHY,EXG,419,0.48,0.69,Battu
01,01,60495,406,929,61830,25013,86843,M. Michael MENDES,DSV,314,0.36,0.52,Battu
01,01,60495,406,929,61830,25013,86843,M. Cyril VINCENT,DSV,197,0.23,0.33,Battu
01,02,71918,321,1197,73436,28438,101874,M. Andréa KOTARAC,RN,28189,27.67,39.2,Qualif
01,02,71918,321,1197,73436,28438,101874,M. Romain DAUBIÉ,ENS,17414,17.09,24.21,Qualif
01,02,71918,321,1197,73436,28438,101874,M. Maxime MEYER,UG,16981,16.67,23.61,Qualif
01,02,71918,321,1197,73436,28438,101874,M. Alexandre NANCHI,LR,6737,6.61,9.37,Battu
01,02,71918,321,1197,73436,28438,101874,M. Olivier EYRAUD,EXD,1863,1.83,2.59,Battu
01,02,71918,321,1197,73436,28438,101874,M. Vincent GOUTAGNY,EXG,734,0.72,1.02,Battu
01,03,53720,381,860,54961,29169,84130,Mme Olga GIVERNET,ENS,17420,20.71,32.43,Qualif
01,03,53720,381,860,54961,29169,84130,Mme Karine DUBARRY,RN,17252,20.51,32.11,Qualif
01,03,53720,381,860,54961,29169,84130,M. Christian JOLIE,UG,13497,16.04,25.12,Qualif
01,03,53720,381,860,54961,29169,84130,Mme Khadija UNAL,LR,3663,4.35,6.82,Battu
01,03,53720,381,860,54961,29169,84130,Mme Annick VEILLEROT,DSV,769,0.91,1.43,Battu
01,03,53720,381,860,54961,29169,84130,M. Fulgence KOUASSI,DIV,630,0.75,1.17,Battu
01,03,53720,381,860,54961,29169,84130,Mme Cécile MAISONNETTE,EXG,455,0.54,0.85,Battu
01,03,53720,381,860,54961,29169,84130,Mme Sofia TONIZZO,DIV,34,0.04,0.06,Battu
01,04,65688,531,1361,67580,28539,96119,M. Jérôme BUISSON,RN,30221,31.44,46.01,Qualif
01,04,65688,531,1361,67580,28539,96119,M. Christophe COQUELET,ENS,14367,14.95,21.87,Qualif
01,04,65688,531,1361,67580,28539,96119,Mme Charline LIOTIER,UG,13113,13.64,19.96,Qualif
01,04,65688,531,1361,67580,28539,96119,M. Guy BILLOUDET,LR,7179,7.47,10.93,Battu
01,04,65688,531,1361,67580,28539,96119,M. Sylvain COUSSON,EXG,706,0.73,1.07,Battu
01,04,65688,531,1361,67580,28539,96119,M. Jérémy NICAUD,DIV,85,0.09,0.13,Battu
01,04,65688,531,1361,67580,28539,96119,M. Yannick BRESSON,DIV,17,0.02,0.03,Battu
01,05,51532,463,978,52973,24927,77900,M. Marc CHAVENT,UXD,20161,25.88,39.12,Qualif
01,05,51532,463,978,52973,24927,77900,Mme Florence PISANI,UG,12542,16.1,24.34,Qualif
01,05,51532,463,978,52973,24927,77900,M. Damien ABAD,DVD,9651,12.39,18.73,Battu
01,05,51532,463,978,52973,24927,77900,Mme Nathalie DESCOURS,ENS,6036,7.75,11.71,Battu
